bx,by,rx,ry,T
1,1,21,25,47.81877009964025
1,1,21,27,47.92840059390406
1,1,22,0,29.09916266050362
1,1,22,6,31.184870269183065
1,1,22,8,31.910833233062665
1,1,22,10,34.075372533597786
1,1,22,12,36.386960697741436
1,1,22,14,38.09610237510397
1,1,22,16,40.44335699858965
1,1,22,18,41.85370684799242
1,1,22,20,42.62878041954297
1,1,22,22,43.923887982513634
1,1,22,24,48.12410873537064
1,1,22,28,58.73023959262593
1,1,23,3,31.48423635464538
1,1,23,5,31.99214614027406
1,1,23,7,33.16177536149207
1,1,23,9,35.25004786135796
1,1,23,11,36.30174130347939
1,1,23,13,36.386960697741436
1,1,23,15,40.13621691846141
1,1,23,19,42.194237662002784
1,1,23,23,48.539077865364845
1,1,23,27,58.63542693106237
1,1,24,2,31.78014493143098
1,1,24,4,32.49503120350626
1,1,24,6,34.37748680597913
1,1,24,8,35.09774309976027
1,1,24,14,40.75532002644935
1,1,24,22,49.775855504905465
1,1,24,24,48.539077865364845
1,1,24,26,58.32627394206841
1,1,24,28,58.63857378918772
1,1,25,1,31.790124469272335
1,1,25,5,34.61495652173361
1,1,25,9,36.74991505240497
1,1,25,11,38.12576218714052
1,1,25,15,41.41903082315774
1,1,25,17,43.3707819149053
1,1,25,21,49.29342394627006
1,1,25,23,49.775855504905465
1,1,25,25,58.043883096159036
1,1,26,10,38.20215059654279
1,1,26,12,39.6772627515624
1,1,26,14,40.735752393861134
1,1,26,20,48.31857414850063
1,1,26,22,50.2017176479262
1,1,26,26,57.8003568317039
1,1,26,28,58.33509318584826
1,1,27,3,37.090110835786874
1,1,27,5,36.815822218293015
1,1,27,7,38.11979820384667
1,1,27,11,39.31356149255019
1,1,27,17,45.46245508774058
1,1,27,19,47.346226422738006
1,1,27,21,49.87095242852555
1,1,27,23,51.76445229952244
1,1,28,4,37.024311857450634
1,1,28,8,38.53147513329747
1,1,28,10,38.81694664596063
1,1,28,12,39.98820922369
1,1,28,16,45.339167506142246
1,1,28,18,47.10626167942371
1,1,28,20,48.352864309421406
1,1,28,24,53.98688744274561
1,1,28,26,56.08806998928342
1,1,28,28,56.23826300456124
1,1,29,13,40.21582613594515
1,2,1,2,0.0
1,2,1,4,3.076121126318239
1,2,1,6,24.47308642028732
1,2,1,8,24.099974784236515
1,2,1,10,23.166630087582977
1,2,1,12,21.806064782653102
1,2,1,16,27.13565220261387
1,2,1,18,27.545317305391595
1,2,1,20,28.32116653062752
1,2,1,28,37.522560580542994
1,2,2,3,2.418447877459876
1,2,2,5,4.336289414192034
1,2,2,7,24.47308642028732
1,2,2,17,26.777358500153056
1,2,2,25,34.39827129837249
1,2,3,6,6.346034711810185
1,2,3,8,13.636133338665758
1,2,3,12,20.339169872053887
1,2,3,14,19.586827400505666
1,2,3,16,26.41232708178825
1,2,3,18,27.26344496807689
1,2,3,20,28.97461460710739
1,2,3,22,30.66073754153095
1,2,3,24,32.27304736910931
1,2,3,26,36.260523364700745
1,2,3,28,37.30685533782855
1,2,4,1,6.737981576094537
1,2,4,3,4.5615803199424665
1,2,4,5,6.346034711810185
1,2,4,7,7.095611721554541
1,2,4,9,13.674879359559608
1,2,4,13,19.282467225369565
1,2,4,17,25.391251658293804
1,2,4,25,31.935697542852356
1,2,4,27,37.657327245473766
1,2,5,2,6.258561754117419
1,2,5,4,6.607133988788025
1,2,5,6,8.755709633393943
1,2,5,8,12.974213837671055
1,2,5,10,14.799818358313184
1,2,5,12,17.452610635687588
1,2,5,16,23.708229126605055
1,2,5,18,24.370176234799363
1,2,5,20,29.530678096098782
1,2,5,22,30.46238650227805
1,2,5,24,31.46837177560674
1,2,5,26,38.172002264774626
1,2,6,1,6.573185374411296
1,2,6,3,6.94268721428815
1,2,6,7,11.325304920061
1,2,6,13,20.35037943325845
1,2,6,15,22.047181600565622
1,2,6,19,27.137692380290712
1,2,6,21,29.353802376669677
1,2,6,25,38.30445817370956
1,2,6,27,38.40223631524733
1,2,7,2,7.613793665288401
1,2,7,4,8.648594419876474
1,2,7,6,10.757466662749637
1,2,7,8,12.831577434063163
1,2,7,12,21.356474409839315
1,2,7,16,23.85412344909097
1,2,7,18,25.899828630030953
1,2,7,20,27.972461974346
1,2,7,22,29.54824576699677
1,2,8,1,17.51571871739082
1,2,8,11,21.939749869879687
1,2,8,13,21.856964678950394
1,2,8,17,24.661964879771194
1,2,8,19,27.893572609665856
1,2,8,25,38.24391555823051
1,2,8,27,38.51224966171592
1,2,9,2,17.410505043207426
1,2,9,4,10.98382510780199
1,2,9,6,12.515908038780301
1,2,9,8,14.461522065984878
1,2,9,14,23.35857523709882
1,2,9,22,30.957641681525782
1,2,9,28,38.580950680088634
1,2,10,1,17.471496833965585
1,2,10,3,16.98030566985179
1,2,10,5,13.32764713974987
1,2,10,7,14.401253012179282
1,2,10,11,22.526156041021437
1,2,10,13,22.67318775901171
1,2,10,15,24.829522358424114
1,2,10,17,28.64727344036638
1,2,10,19,29.538621978990626
1,2,10,21,31.250972304210862
1,2,10,25,37.65778456019084
1,2,10,27,38.518528563849515
1,2,11,4,15.494504409063165
1,2,11,8,17.058911622770026
1,2,11,12,22.937911139771753
1,2,11,16,26.873347577955805
1,2,11,22,32.548129901335045
1,2,11,24,36.12972290975524
1,2,12,1,17.69925724164612
1,2,12,3,17.685627060350317
1,2,12,7,19.49103125831762
1,2,12,9,19.76986073554975
1,2,12,11,21.96726984797898
1,2,12,13,23.711758478934268
1,2,12,15,24.917982219499514
1,2,12,17,28.95307240502881
1,2,12,19,30.41641708402228
1,2,12,21,32.15083440964455
1,2,12,25,38.25697313255769
1,2,12,27,39.063767623811984
1,2,13,2,18.2007806051857
1,2,13,4,19.45270290085442
1,2,13,12,24.18872601019233
1,2,13,14,24.279645883642246
1,2,13,16,35.00264758417315
1,2,13,20,32.61238593699084
1,2,13,26,39.62508314032703
1,2,13,28,39.32332216856337
1,2,14,3,19.349373197539617
1,2,14,5,21.216851998490316
1,2,14,7,20.990004943695343
1,2,14,9,26.573706656183628
1,2,14,11,25.903643801171
1,2,14,13,25.920013731385367
1,2,14,15,35.00264758417315
1,2,14,17,35.00264758417315
1,2,14,21,33.6782421762788
1,2,14,23,41.099121221537196
1,2,14,25,40.2211554904789
1,2,15,2,21.05405284203382
1,2,15,6,21.78341594579978
1,2,15,10,27.520871427629658
1,2,15,14,26.60644651661237
1,2,15,16,34.83775501698089
1,2,15,18,35.92564590495649
1,2,15,20,34.5848685763475
1,2,15,22,41.57805155351763
1,2,15,26,40.86397565892514
1,2,15,28,42.372923464526416
1,2,16,1,22.00588643154947
1,2,16,5,22.969417671383383
1,2,16,9,28.708240056967195
1,2,16,13,27.615897479580624
1,2,16,15,34.48969889297921
1,2,16,19,35.708570440686344
1,2,16,21,35.62078407003682
1,2,16,23,42.04351072163231
1,2,16,25,41.068640811852255
1,2,17,2,23.227390469611336
1,2,17,10,29.284281251677616
1,2,17,12,29.758542957723268
1,2,17,14,33.776641264547294
1,2,17,16,34.60883942541833
1,2,17,18,35.8212725853538
1,2,17,20,35.69044693146517
1,2,17,28,43.90041603366643
1,2,18,3,25.774626102663216
1,2,18,5,26.031052100456463
1,2,18,7,28.119603980185953
1,2,18,11,30.20432158180664
1,2,18,13,32.083219022616944
1,2,18,17,35.28200987802384
1,2,18,19,35.773335960036476
1,2,18,23,43.774670101871415
1,2,18,25,46.596500107626824
1,2,19,4,26.793158819820004
1,2,19,6,28.18358084744482
1,2,19,8,29.595320112355523
1,2,19,10,30.386517624459685
1,2,19,12,31.727564088052766
1,2,19,14,33.92602005951458
1,2,19,16,34.53829257697666
1,2,19,26,46.44030975504523
